TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	290743.767299	6175.858465	60.000000	0.000000	59.999993	60.000000	0.000000	0.470685	1.000000	0.843906	0.843906	0.052828	42472.795223
CCGT	25248.694429	639.467445	25.000000	4.000000	30.568907	Infinity	0.000000	0.034458	1.000000	0.121261	0.955769	0.070952	5618.259418
CCGT_AMMONIA	0.047538	0.001204	25.000000	0.000000	0.000058	Infinity	0.000000	0.000000	1.000000	0.046860	0.590000	0.070952	0.010578
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.862792	0.061072	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850864	0.061072	0.000000
PV	20999.993841	2927.867215	25.000000	0.000000	209.999938	210.000000	0.000000	0.285741	1.000000	0.146376	1.000000	0.070952	267749.921475
WIND_ONSHORE	85646.987751	996.141034	30.000000	0.000000	74.999989	75.000000	0.000000	0.180200	1.000000	0.258469	1.000000	0.065051	46713.743319
WIND_OFFSHORE	0.797814	0.005551	30.000000	0.000000	0.000149	60.000000	0.000000	0.000001	1.000000	0.446379	1.000000	0.065051	0.092755
HYDRO_RIVER	33874.560475	338.716048	80.000000	0.000000	6.714588	22.000000	0.000000	0.028916	1.000000	0.463271	1.000000	0.051030	8479.316314
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.065051	0.000000
IND_COGEN_GAS	0.040007	0.002572	25.000000	0.000000	0.000026	Infinity	0.000000	0.000000	1.000000	0.058073	0.844900	0.070952	0.026818
IND_COGEN_WOOD	0.078959	0.002891	25.000000	0.000000	0.000067	Infinity	0.000000	0.000002	1.000000	0.299817	0.844900	0.070952	0.011129
IND_COGEN_WASTE	0.059553	0.002195	25.000000	0.000000	0.000019	Infinity	0.000000	0.000000	1.000000	0.091324	0.844900	0.070952	0.012121
