Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27300.000306	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.713816	Infinity
WASTE	85000.003280	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	6271.187187	Infinity
CO2_EMISSIONS	57237.966451	Infinity
RES_WIND	251939.758472	Infinity
RES_SOLAR	270867.243237	Infinity
RES_HYDRO	92051.179934	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	13934.873409	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	44.421616	44.416667
APPLES	54.990891	54.986111
CEREALSTRAW	36555.560105	36555.555556
CHERRIES	194.448625	194.444444
MAIZESTRAW	6388.893352	6388.888889
OLIVES	55.552844	55.555556
OSR	4222.226892	4222.222222
RICESTRAW	268.882591	268.877778
VINEYARDS	1500.004427	1500.000000
MISCANTHUS	5.107004	30638.888889
SWITCHGRASS	29943.983949	32111.111111
WILLOW	0.431841	8277.777778
POPLAR	0.252133	888.888889
CP_RES	34138.486920	34138.483333
FUELWOOD_RES	12555.559732	12555.555556
LANDSCAPECARE	14172.548931	14172.544444
MSW	31515.366497	31515.361111
FUELWOODRW	28361.115307	28361.111111
OTHERSECRESID	6055.560268	6055.555556
SAWDUST	1722.227193	1722.222222
CP_RW	77244.493913	77250.000000
GRASS_FOR_BIOGAS	781.937915	781.944444
MAIZE_SILAGE	2259.758962	2259.777778
SUGARBEETTOPS	583.324472	583.333333
MANURE_LIQ	6527.704733	6527.777778
MANURE_SOL	65138.891844	65138.888889
SLUDGE	3.049535	3.055556
