Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27299.998577	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.970528	Infinity
WASTE	85000.000906	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	3424.680647	Infinity
CO2_EMISSIONS	38541.068554	Infinity
RES_WIND	434336.941343	Infinity
RES_SOLAR	271248.985558	Infinity
RES_HYDRO	92313.101260	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	2435.394854	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	8.889899	8.888889
APPLES	13.742304	13.741667
CEREALSTRAW	22194.445046	22194.444444
CHERRIES	194.444670	194.444444
MAIZESTRAW	1916.667397	1916.666667
OLIVES	1.071388	55.555556
OSR	1277.778698	1277.777778
RICESTRAW	100.828625	100.827778
VINEYARDS	361.111974	361.111111
MISCANTHUS	0.130556	21500.000000
SWITCHGRASS	0.138677	20666.666667
WILLOW	0.104052	17083.333333
POPLAR	0.076761	1638.888889
CP_RES	34138.483889	34138.483333
FUELWOOD_RES	3166.667453	3166.666667
LANDSCAPECARE	3543.139907	3543.138889
MSW	18386.100201	18386.155556
FUELWOODRW	24709.967386	24709.966667
OTHERSECRESID	1472.223323	1472.222222
SAWDUST	388.890121	388.888889
CP_RW	73125.129769	77250.000000
GRASS_FOR_BIOGAS	603.027802	603.027778
MAIZE_SILAGE	1742.804509	1742.805556
SUGARBEETTOPS	388.888371	388.888889
MANURE_LIQ	2638.886240	2638.888889
MANURE_SOL	12916.668007	12916.666667
SLUDGE	1.664020	1.666667
