Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27299.996102	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.937163	Infinity
WASTE	85000.001200	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	3862.499878	Infinity
CO2_EMISSIONS	38934.501661	Infinity
RES_WIND	427990.537508	Infinity
RES_SOLAR	271198.733158	Infinity
RES_HYDRO	92449.858383	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	2403.379730	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	8.890659	8.888889
APPLES	13.743343	13.741667
CEREALSTRAW	22194.445924	22194.444444
CHERRIES	194.445879	194.444444
MAIZESTRAW	1916.668148	1916.666667
OLIVES	55.556609	55.555556
OSR	1277.779344	1277.777778
RICESTRAW	100.829431	100.827778
VINEYARDS	361.112655	361.111111
MISCANTHUS	2.381482	21500.000000
SWITCHGRASS	5818.110101	20666.666667
WILLOW	0.386489	17083.333333
POPLAR	0.220335	1638.888889
CP_RES	34138.484537	34138.483333
FUELWOOD_RES	3166.668120	3166.666667
LANDSCAPECARE	3543.140444	3543.138889
MSW	18386.122006	18386.155556
FUELWOODRW	24709.968029	24709.966667
OTHERSECRESID	1472.223840	1472.222222
SAWDUST	388.890621	388.888889
CP_RW	77249.974414	77250.000000
GRASS_FOR_BIOGAS	603.027015	603.027778
MAIZE_SILAGE	1742.802168	1742.805556
SUGARBEETTOPS	388.887829	388.888889
MANURE_LIQ	2638.883370	2638.888889
MANURE_SOL	12916.668399	12916.666667
SLUDGE	1.665438	1.666667
