Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27299.995155	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.984370	Infinity
WASTE	85000.000279	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	2301.594412	Infinity
CO2_EMISSIONS	68467.128749	Infinity
RES_WIND	437026.514668	Infinity
RES_SOLAR	271918.880096	Infinity
RES_HYDRO	92336.254703	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	2040.816761	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	1.217787	88.833333
APPLES	0.122723	109.966667
CEREALSTRAW	0.159446	53000.000000
CHERRIES	0.169390	388.888889
MAIZESTRAW	0.149687	12472.222222
OLIVES	0.074149	166.666667
OSR	0.215287	8833.333333
RICESTRAW	0.153051	504.147222
VINEYARDS	0.599641	2944.444444
MISCANTHUS	0.018015	43694.444444
SWITCHGRASS	0.018259	44055.555556
WILLOW	0.016121	10611.111111
POPLAR	0.014749	1750.000000
CP_RES	0.466681	120840.166667
FUELWOOD_RES	44385.797857	44388.888889
LANDSCAPECARE	35431.318152	35431.344444
MSW	0.041490	40333.000000
FUELWOODRW	25568.237179	34138.888889
OTHERSECRESID	15166.666693	15166.666667
SAWDUST	4444.444619	4444.444444
CP_RW	0.108913	93000.000000
GRASS_FOR_BIOGAS	0.132292	860.138889
MAIZE_SILAGE	2485.832292	2485.833333
SUGARBEETTOPS	0.093438	861.111111
MANURE_LIQ	10583.256070	10583.333333
MANURE_SOL	117444.444852	117444.444444
SLUDGE	4.163738	4.166667
