Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27299.995315	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.954954	Infinity
WASTE	85000.001310	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	3688.992713	Infinity
CO2_EMISSIONS	66395.980286	Infinity
RES_WIND	337535.154752	Infinity
RES_SOLAR	271692.060484	Infinity
RES_HYDRO	91553.975126	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	3184.507390	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	88.810237	88.833333
APPLES	0.274728	109.966667
CEREALSTRAW	26560.819556	53000.000000
CHERRIES	0.424368	388.888889
MAIZESTRAW	107.012989	12472.222222
OLIVES	0.164278	166.666667
OSR	8833.329980	8833.333333
RICESTRAW	504.104971	504.147222
VINEYARDS	0.974309	2944.444444
MISCANTHUS	0.138152	43694.444444
SWITCHGRASS	0.142725	44055.555556
WILLOW	0.100023	10611.111111
POPLAR	0.069944	1750.000000
CP_RES	1.631622	120840.166667
FUELWOOD_RES	44388.865367	44388.888889
LANDSCAPECARE	35431.342143	35431.344444
MSW	40331.521142	40333.000000
FUELWOODRW	34138.887427	34138.888889
OTHERSECRESID	15166.666935	15166.666667
SAWDUST	4444.445619	4444.444444
CP_RW	0.319870	93000.000000
GRASS_FOR_BIOGAS	860.130551	860.138889
MAIZE_SILAGE	2485.828034	2485.833333
SUGARBEETTOPS	861.094710	861.111111
MANURE_LIQ	10583.267819	10583.333333
MANURE_SOL	117444.446120	117444.444444
SLUDGE	4.157410	4.166667
