TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	290743.786157	6175.858866	60.000000	0.000000	59.999997	60.000000	0.000000	0.396641	1.000000	0.843906	0.843906	0.052828	42472.797978
CCGT	12584.584018	318.726650	25.000000	4.000000	15.236312	Infinity	0.000000	0.006801	1.000000	0.056978	0.955769	0.070952	2800.281729
CCGT_AMMONIA	0.030261	0.000766	25.000000	0.000000	0.000037	Infinity	0.000000	0.000000	1.000000	0.031654	0.590000	0.070952	0.006734
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.862792	0.061072	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850864	0.061072	0.000000
PV	20999.995994	2927.867515	25.000000	0.000000	209.999960	210.000000	0.000000	0.242795	1.000000	0.147594	1.000000	0.070952	267749.948924
WIND_ONSHORE	85646.987125	996.141027	30.000000	0.000000	74.999989	75.000000	0.000000	0.153053	1.000000	0.260512	1.000000	0.065051	46713.742978
WIND_OFFSHORE	165525.395104	1151.642006	30.000000	0.000000	30.897167	60.000000	0.000000	0.120969	1.000000	0.499809	1.000000	0.065051	19244.300737
HYDRO_RIVER	110988.157763	1109.784738	80.000000	0.000000	21.999984	22.000000	0.000000	0.079742	1.000000	0.462712	1.000000	0.051030	27782.019415
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.065051	0.000000
IND_COGEN_GAS	0.053562	0.003443	25.000000	0.000000	0.000035	Infinity	0.000000	0.000001	1.000000	0.084956	0.844900	0.070952	0.035904
