Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27300.000121	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.949769	Infinity
WASTE	85000.001752	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	3493.419532	Infinity
CO2_EMISSIONS	71658.336604	Infinity
RES_WIND	384610.908370	Infinity
RES_SOLAR	271229.503030	Infinity
RES_HYDRO	90539.032506	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	2725.066341	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	88.823380	88.833333
APPLES	0.665427	109.966667
CEREALSTRAW	21934.573293	53000.000000
CHERRIES	0.721400	388.888889
MAIZESTRAW	59.546925	12472.222222
OLIVES	0.337737	166.666667
OSR	8833.328420	8833.333333
RICESTRAW	504.093957	504.147222
VINEYARDS	1.143525	2944.444444
MISCANTHUS	0.141568	43694.444444
SWITCHGRASS	0.145663	44055.555556
WILLOW	0.109550	10611.111111
POPLAR	0.077372	1750.000000
CP_RES	2.114441	120840.166667
FUELWOOD_RES	44388.627389	44388.888889
LANDSCAPECARE	35431.200588	35431.344444
MSW	4.948417	40333.000000
FUELWOODRW	34137.930430	34138.888889
OTHERSECRESID	15166.667663	15166.666667
SAWDUST	4444.446306	4444.444444
CP_RW	0.418581	93000.000000
GRASS_FOR_BIOGAS	860.121492	860.138889
MAIZE_SILAGE	2485.827321	2485.833333
SUGARBEETTOPS	861.030991	861.111111
MANURE_LIQ	9434.506394	10583.333333
MANURE_SOL	117444.446726	117444.444444
SLUDGE	4.155953	4.166667
